,kpm,okpm,a,k,d,performance
946,0.1641586867305061,0.054719562243502,9.0,6.0,0.0,B
947,0.082079343365253,0.027359781121751,6.0,3.0,0.0,C
948,0.2188782489740082,0.054719562243502,6.0,8.0,0.0,A
949,0.027359781121751,0.0,16.0,1.0,1.0,A
950,0.0,0.311284046692607,1.0,0.0,6.0,A
951,0.1167315175097276,0.0389105058365758,1.0,3.0,3.0,B
952,0.0,0.0778210116731517,1.0,0.0,3.0,C
953,0.0,0.1945525291828793,4.0,0.0,2.0,B
954,0.0389105058365758,0.0,3.0,1.0,2.0,C
955,0.311284046692607,0.0,6.0,8.0,0.0,A
956,0.0389105058365758,0.1167315175097276,7.0,1.0,1.0,C
957,0.0778210116731517,0.0,8.0,2.0,1.0,C
958,0.1945525291828793,0.0,5.0,5.0,0.0,A
959,0.0,0.0389105058365758,6.0,0.0,2.0,C
960,0.0765306122448979,0.1913265306122449,5.0,2.0,4.0,B
961,0.1530612244897959,0.0382653061224489,8.0,4.0,0.0,B
962,0.1913265306122449,0.0382653061224489,11.0,5.0,0.0,A
963,0.1913265306122449,0.0382653061224489,10.0,5.0,3.0,A
964,0.0765306122448979,0.0765306122448979,14.0,2.0,3.0,A
965,0.1913265306122449,0.0765306122448979,0.0,5.0,4.0,A
966,0.0382653061224489,0.1530612244897959,1.0,1.0,3.0,C
967,0.0382653061224489,0.1913265306122449,4.0,1.0,2.0,B
968,0.0382653061224489,0.1913265306122449,4.0,1.0,6.0,B
969,0.0765306122448979,0.0765306122448979,7.0,2.0,3.0,C
970,0.0,0.2042205582028591,2.0,0.0,2.0,B
971,0.0,0.0408441116405718,3.0,0.0,2.0,C
972,0.0,0.0408441116405718,3.0,0.0,4.0,C
973,0.1225323349217154,0.4492852280462899,0.0,3.0,2.0,A
974,0.0,0.0,3.0,0.0,8.0,A
975,0.2042205582028591,0.0,7.0,5.0,0.0,A
976,0.0408441116405718,0.0,12.0,1.0,2.0,B
977,0.0408441116405718,0.0,9.0,1.0,1.0,C
978,0.4492852280462899,0.1225323349217154,6.0,11.0,0.0,A
979,0.0,0.0,12.0,0.0,0.0,A
980,0.0371057513914656,0.0,1.0,1.0,5.0,A
981,0.1855287569573284,0.1484230055658627,3.0,5.0,3.0,B
982,0.1855287569573284,0.222634508348794,6.0,5.0,3.0,A
983,0.0,0.2968460111317254,5.0,0.0,5.0,A
984,0.0,0.0742115027829313,7.0,0.0,4.0,C
985,0.0,0.0371057513914656,12.0,0.0,3.0,B
986,0.1484230055658627,0.1855287569573284,10.0,4.0,0.0,A
987,0.222634508348794,0.1855287569573284,7.0,6.0,2.0,A
988,0.2968460111317254,0.0,9.0,8.0,2.0,A
989,0.0742115027829313,0.0,11.0,2.0,4.0,B
990,0.027868091035764,0.0,9.0,1.0,4.0,C
991,0.1393404551788202,0.0557361820715281,13.0,5.0,1.0,B
992,0.2508128193218764,0.0,7.0,9.0,0.0,A
993,0.1393404551788202,0.0557361820715281,8.0,5.0,2.0,C
994,0.027868091035764,0.1114723641430562,17.0,1.0,1.0,A
995,0.0,0.027868091035764,3.0,0.0,8.0,A
996,0.0557361820715281,0.1393404551788202,4.0,2.0,1.0,C
997,0.0,0.2508128193218764,3.0,0.0,5.0,A
998,0.0557361820715281,0.1393404551788202,3.0,2.0,2.0,C
999,0.1114723641430562,0.027868091035764,2.0,4.0,5.0,B
1000,0.0582241630276564,0.0,8.0,2.0,3.0,C
1001,0.0291120815138282,0.0582241630276564,3.0,1.0,2.0,C
1002,0.1164483260553129,0.0291120815138282,6.0,4.0,0.0,C
1003,0.1746724890829694,0.1455604075691411,5.0,6.0,1.0,B
1004,0.0291120815138282,0.0291120815138282,9.0,1.0,3.0,C
1005,0.0,0.0582241630276564,7.0,0.0,4.0,C
1006,0.0582241630276564,0.0291120815138282,5.0,2.0,4.0,C
1007,0.0291120815138282,0.1164483260553129,5.0,1.0,2.0,C
1008,0.1455604075691411,0.1746724890829694,3.0,5.0,1.0,B
1009,0.0291120815138282,0.0291120815138282,6.0,1.0,3.0,C
1010,0.135236664162284,0.067618332081142,4.0,6.0,3.0,A
1011,0.0450788880540946,0.067618332081142,5.0,2.0,5.0,C
1012,0.067618332081142,0.135236664162284,4.0,3.0,5.0,C
1013,0.0225394440270473,0.2253944402704733,5.0,1.0,4.0,B
1014,0.0,0.0225394440270473,6.0,0.0,6.0,A
1015,0.067618332081142,0.135236664162284,13.0,3.0,4.0,B
1016,0.067618332081142,0.0450788880540946,16.0,3.0,2.0,A
1017,0.135236664162284,0.067618332081142,8.0,6.0,1.0,A
1018,0.2253944402704733,0.0225394440270473,8.0,10.0,2.0,A
1019,0.0225394440270473,0.0,16.0,1.0,3.0,A
1020,0.0643776824034334,0.0321888412017167,3.0,2.0,2.0,C
1021,0.1287553648068669,0.0643776824034334,7.0,4.0,0.0,C
1022,0.0643776824034334,0.1287553648068669,6.0,2.0,2.0,C
1023,0.2896995708154506,0.0,6.0,9.0,2.0,A
1024,0.0321888412017167,0.0,9.0,1.0,1.0,C
1025,0.0321888412017167,0.0643776824034334,3.0,1.0,4.0,C
1026,0.0643776824034334,0.1287553648068669,2.0,2.0,4.0,C
1027,0.1287553648068669,0.0643776824034334,1.0,4.0,2.0,C
1028,0.0,0.2896995708154506,4.0,0.0,4.0,A
1029,0.0,0.0321888412017167,5.0,0.0,4.0,C
1030,0.0987925356750823,0.0658616904500548,8.0,3.0,2.0,C
1031,0.2963776070252469,0.1317233809001097,5.0,9.0,0.0,A
1032,0.0658616904500548,0.0329308452250274,7.0,2.0,2.0,C
1033,0.0987925356750823,0.1646542261251372,3.0,3.0,4.0,C
1034,0.0329308452250274,0.0329308452250274,3.0,1.0,5.0,B
1035,0.0658616904500548,0.0987925356750823,5.0,2.0,6.0,B
1036,0.1317233809001097,0.2963776070252469,5.0,4.0,3.0,A
1037,0.0329308452250274,0.0658616904500548,6.0,1.0,3.0,C
1038,0.1646542261251372,0.0987925356750823,4.0,5.0,2.0,C
1039,0.0329308452250274,0.0329308452250274,7.0,1.0,4.0,C
1040,0.0686106346483705,0.274442538593482,2.0,2.0,4.0,A
1041,0.0,0.0,5.0,0.0,4.0,C
1042,0.0686106346483705,0.1029159519725557,1.0,2.0,3.0,C
1043,0.137221269296741,0.1029159519725557,3.0,4.0,0.0,C
1044,0.0,0.0,4.0,0.0,3.0,C
1045,0.274442538593482,0.0686106346483705,4.0,8.0,1.0,A
1046,0.0,0.0,10.0,0.0,2.0,C
1047,0.1029159519725557,0.0686106346483705,6.0,3.0,2.0,C
1048,0.1029159519725557,0.137221269296741,5.0,3.0,2.0,C
1049,0.0,0.0,10.0,0.0,1.0,B
1050,0.145631067961165,0.0364077669902912,7.0,4.0,2.0,C
1051,0.1820388349514563,0.145631067961165,5.0,5.0,2.0,B
1052,0.0364077669902912,0.0364077669902912,9.0,1.0,1.0,C
1053,0.2548543689320388,0.0364077669902912,7.0,7.0,1.0,A
1054,0.0364077669902912,0.0,11.0,1.0,1.0,B
1055,0.0364077669902912,0.145631067961165,2.0,1.0,5.0,C
1056,0.145631067961165,0.1820388349514563,0.0,4.0,3.0,B
1057,0.0364077669902912,0.0364077669902912,2.0,1.0,4.0,C
1058,0.0364077669902912,0.2548543689320388,3.0,1.0,3.0,A
