,winrate_total,sum_total,winrate_total_z,winrate_total_minmax,sum_total_z,sum_total_minmax
67,0%,4,-1.6228185328301612,0.0,-0.5725504904322598,0.04285714285714286
68,67%,3,0.8551876268356153,0.67,-0.6419934954599349,0.028571428571428574
69,33%,3,-0.40230803627836076,0.33,-0.6419934954599349,0.028571428571428574
70,33%,3,-0.40230803627836076,0.33,-0.6419934954599349,0.028571428571428574
71,100%,2,2.0756981233874154,1.0,-0.71143650048761,0.014285714285714285
72,100%,2,2.0756981233874154,1.0,-0.71143650048761,0.014285714285714285
73,50%,2,0.22643979527862718,0.5,-0.71143650048761,0.014285714285714285
74,50%,2,0.22643979527862718,0.5,-0.71143650048761,0.014285714285714285
75,50%,2,0.22643979527862718,0.5,-0.71143650048761,0.014285714285714285
76,50%,2,0.22643979527862718,0.5,-0.71143650048761,0.014285714285714285
77,0%,2,-1.6228185328301612,0.0,-0.71143650048761,0.014285714285714285
78,0%,2,-1.6228185328301612,0.0,-0.71143650048761,0.014285714285714285
79,100%,1,2.0756981233874154,1.0,-0.7808795055152851,0.0
80,100%,1,2.0756981233874154,1.0,-0.7808795055152851,0.0
81,100%,1,2.0756981233874154,1.0,-0.7808795055152851,0.0
82,100%,1,2.0756981233874154,1.0,-0.7808795055152851,0.0
83,100%,1,2.0756981233874154,1.0,-0.7808795055152851,0.0
84,100%,1,2.0756981233874154,1.0,-0.7808795055152851,0.0
85,0%,1,-1.6228185328301612,0.0,-0.7808795055152851,0.0
86,0%,1,-1.6228185328301612,0.0,-0.7808795055152851,0.0
87,0%,1,-1.6228185328301612,0.0,-0.7808795055152851,0.0
88,0%,1,-1.6228185328301612,0.0,-0.7808795055152851,0.0
89,0%,1,-1.6228185328301612,0.0,-0.7808795055152851,0.0
90,0%,1,-1.6228185328301612,0.0,-0.7808795055152851,0.0
91,0%,1,-1.6228185328301612,0.0,-0.7808795055152851,0.0
92,0%,1,-1.6228185328301612,0.0,-0.7808795055152851,0.0
93,0%,1,-1.6228185328301612,0.0,-0.7808795055152851,0.0
94,0%,1,-1.6228185328301612,0.0,-0.7808795055152851,0.0
95,0%,1,-1.6228185328301612,0.0,-0.7808795055152851,0.0
96,0%,1,-1.6228185328301612,0.0,-0.7808795055152851,0.0
97,0%,1,-1.6228185328301612,0.0,-0.7808795055152851,0.0
