,k,d
240,0.00025961102540674553,0.00020768882032539643
241,0.0005650233428848799,0.0
242,9.895932235565808e-05,9.895932235565808e-05
243,0.0004077553717359702,0.0
244,0.0,0.0
245,0.00018110295488870577,0.00036220590977741155
246,0.00032236967532300794,0.00010745655844100264
247,0.0,0.0005434865353626679
248,0.0,0.00011653176395329074
249,0.0,0.0020885058503739545
250,0.00038562065727073614,0.0007712413145414723
251,0.0002460347636450546,0.0
252,0.00031007558120750285,0.0
253,0.0009758793831515077,0.0
254,0.0005268909953304736,0.0005268909953304736
255,0.0003770193899778555,0.000754038779955711
256,0.00018181768312901795,0.0003636353662580359
257,0.0,0.00046952799640465336
258,0.0,0.0009369270176683192
259,0.00047538099577187107,0.00047538099577187107
260,0.00011365482844264077,0.0004546193137705631
261,8.449894429487044e-05,0.0005069936657692226
262,0.00011609060568818229,0.00029022651422045575
263,0.0005007419423118464,0.0017525967980914624
264,0.00029211857150873477,0.00014605928575436739
265,0.00022598649650169294,0.00022598649650169294
266,0.0003538748718716438,0.00015166065937356163
267,0.00041813745298384245,0.00041813745298384245
268,9.971999343742996e-05,0.00014957999015614495
269,0.00013781082997103898,0.00013781082997103898
270,0.000385407419501684,0.000192703709750842
271,0.000650529725269404,0.0003903178351616424
272,0.00012117106942720697,0.00048468427770882787
273,0.0003642393633081943,0.0003642393633081943
274,0.0,0.0011367995310858413
275,0.00039430130385689635,0.00015772052154275853
276,0.0002506750518150868,0.0001880062888613151
277,0.0004262800858967144,0.0006394201288450716
278,0.0,0.0004270744392588047
279,0.00021369580619144357,0.00042739161238288713
280,0.0,0.00039859668542318547
281,0.000158147959081898,0.000632591836327592
282,0.0,0.0009945465122906249
283,0.0002515871394061961,8.386237980206537e-05
284,0.0,0.0
285,0.0005854214439751906,0.0
286,0.0005020360643082194,0.00012550901607705486
287,0.0,0.0
288,0.00022528424693459503,7.509474897819835e-05
289,0.00043384674319871805,0.00014461558106623935
290,0.0003262726957805263,0.0001305090783122105
291,0.00017950112852614672,0.0
292,0.0,0.0006405976387540431
293,0.0005509970453760487,0.0003673313635840325
294,0.00047726306348119335,0.00047726306348119335
295,0.0,0.0006226432215248755
296,0.00013180772515721068,0.00026361545031442136
297,0.0,0.0017814789590666702
298,6.150123691521956e-05,0.00024600494766087823
299,0.0003374978031955578,0.0
300,0.0005085792415846004,0.0002542896207923002
301,0.00040988652597943333,0.00040988652597943333
302,0.00021054458187563685,0.0005263614546890921
303,0.00035636736136345875,0.00044545920170432343
304,0.0005015504549832142,0.0006687339399776189
305,0.0,0.00015569365779445344
306,0.0,0.0015360318375554516
307,9.111804504667278e-05,9.111804504667278e-05
308,0.0002817385670944605,0.00014086928354723025
309,0.00023443401872320915,7.814467290773638e-05
310,0.00021187557054589166,0.0006356267116376749
311,6.065504147361214e-05,0.0001819651244208364
312,0.0,0.0011307331879198204
313,0.0,0.0002350145672226377
314,0.0003365608311965279,0.0003365608311965279
315,0.0006903407330068078,0.0017258518325170195
316,0.0,0.00020397222435977733
317,0.0007562845675186605,0.0001512569135037321
318,0.0,0.00011920066021965039
319,0.00022202577929041577,0.0
320,0.0005400630283783234,0.0
321,9.868199627084284e-05,0.00039472798508337136
322,0.00024209054444699257,0.0007262716333409778
323,0.00023046751205157772,0.0
324,0.0,0.00013500782311122526
325,0.0,0.0004328098530652697
326,0.00024035862107135302,8.011954035711768e-05
327,0.00020155762902418142,0.00040311525804836285
328,0.0003930035968747902,0.0
329,0.00034799980828051217,6.959996165610244e-05
330,0.0,0.00035095292888325224
331,6.056931605846461e-05,0.00018170794817539383
332,0.000903171708235718,0.000903171708235718
333,0.000194026972979952,0.000582080918939856
334,0.0,0.00010259908214054501
335,0.0,0.0018657795215730635
336,0.00022762397237361434,7.587465745787144e-05
337,0.00024865828276019115,0.00024865828276019115
338,0.0,0.00010061399627792346
339,0.00023171151153346796,9.93049335143434e-05
340,0.0,0.0003801791871963751
