,k,d,a
349,4,2,6
350,0,4,8
351,5,2,1
352,0,1,4
353,1,0,2
354,1,1,3
355,0,2,4
356,1,3,1
357,2,3,3
358,1,0,2
359,2,0,3
360,0,1,3
361,4,5,10
362,4,8,9
363,3,2,13
364,1,4,15
365,6,5,7
366,4,5,12
367,5,0,10
368,1,4,12
369,5,1,10
370,5,1,8
371,6,4,10
372,7,1,4
373,2,3,10
374,6,4,2
375,0,5,8
376,1,5,5
377,2,4,4
378,1,7,6
379,2,4,6
380,3,1,6
381,5,1,0
382,7,1,4
383,1,4,11
384,4,5,4
385,1,4,3
386,2,2,5
387,4,4,1
388,0,3,7
389,0,1,7
390,5,4,8
391,4,2,8
392,3,0,10
393,1,4,5
394,3,7,7
395,1,7,4
396,5,3,1
397,2,4,8
398,2,2,6
399,4,1,5
400,9,2,4
401,5,1,6
402,0,3,9
403,1,2,2
404,2,2,2
405,2,6,3
406,3,4,3
407,1,6,6
408,2,4,3
409,2,5,5
410,1,3,4
411,3,5,5
412,1,4,8
413,3,1,8
414,4,2,13
415,9,0,8
416,5,2,13
417,0,4,14
418,4,1,5
419,2,1,7
420,1,1,7
421,3,0,5
422,2,2,7
423,1,3,2
424,1,3,3
425,2,2,2
426,1,3,1
427,0,1,2
428,2,1,2
429,1,0,6
430,4,1,6
431,3,2,3
432,0,0,8
433,0,2,1
434,1,2,1
435,2,1,0
436,1,1,2
437,0,4,1
438,2,3,3
439,1,2,5
440,4,4,3
441,2,2,6
442,0,4,6
443,2,2,5
444,1,2,12
445,5,2,7
446,7,1,5
447,0,2,11
448,5,2,5
449,0,4,15
450,5,1,7
451,7,1,7
452,1,4,10
453,3,3,2
454,2,4,7
455,1,3,8
456,5,4,1
457,0,4,7
458,1,2,0
459,1,1,2
460,0,3,1
461,0,2,1
462,1,1,0
463,1,0,3
464,1,0,5
465,4,1,0
466,3,1,0
467,0,1,3
468,4,5,5
469,5,5,10
470,5,5,8
471,3,2,9
472,1,6,13
473,6,4,7
474,2,1,11
475,3,2,10
476,1,6,12
477,7,6,11
478,6,1,7
479,4,0,10
480,3,3,8
481,3,2,17
482,2,6,7
483,4,2,5
484,3,3,5
485,3,5,3
486,0,7,10
487,0,4,5
488,4,4,3
489,1,1,3
490,4,4,3
491,2,4,5
492,4,2,7
493,2,3,3
494,6,1,7
495,3,2,5
496,2,3,8
497,3,1,3
498,0,3,4
499,2,1,1
500,1,2,0
501,0,2,4
502,2,1,6
503,2,2,3
504,3,1,5
505,1,1,4
506,1,1,6
507,3,5,1
508,3,2,1
509,1,3,2
510,0,2,4
511,0,4,2
512,3,3,3
513,2,1,7
514,3,1,9
515,8,1,2
516,0,1,7
517,6,1,3
518,4,5,9
519,3,6,7
520,3,3,12
521,2,4,10
522,5,4,4
523,1,6,12
524,5,2,2
525,5,4,8
526,3,2,11
527,4,3,4
528,3,4,5
529,3,2,6
530,1,6,6
531,2,7,4
532,5,3,7
533,3,3,10
534,4,1,9
535,7,2,10
536,3,4,15
537,6,3,9
538,4,4,11
539,7,4,8
540,4,3,12
541,1,5,15
542,7,2,2
543,4,6,11
544,1,6,10
545,6,4,7
546,1,4,14
547,3,3,6
548,4,3,6
549,5,0,9
550,6,1,5
551,0,4,6
552,1,4,5
553,3,3,8
554,2,6,7
555,3,3,5
556,2,2,6
557,4,5,6
558,2,4,7
559,3,5,4
560,3,3,5
561,0,5,6
562,6,2,6
563,2,2,9
564,5,1,10
565,7,2,8
566,2,5,10
567,7,2,4
568,1,3,12
569,3,0,8
570,5,2,5
571,0,2,11
572,3,4,3
573,0,4,6
574,2,4,5
575,2,2,5
576,2,2,4
577,5,4,9
578,2,5,8
579,6,0,10
580,5,4,2
581,4,6,4
582,1,5,1
583,0,7,4
584,3,4,5
585,3,1,7
586,3,3,8
587,4,1,8
588,5,0,8
589,0,2,13
590,1,4,3
591,3,1,2
592,3,2,2
593,0,2,5
594,0,6,2
595,0,6,0
596,1,2,1
597,0,3,1
598,0,3,2
599,1,2,1
600,7,0,1
601,1,0,6
602,7,0,1
603,1,0,7
604,0,2,5
605,0,2,2
606,1,1,3
607,0,5,3
608,4,1,0
609,0,7,4
610,3,1,7
611,0,2,11
612,6,0,6
613,5,0,6
614,2,2,9
615,3,7,2
616,3,6,3
617,0,1,3
618,1,3,5
619,1,2,4
620,2,3,13
621,4,3,10
622,3,2,9
623,8,0,3
624,2,0,14
625,0,3,3
626,3,3,4
627,1,2,3
628,3,3,3
629,3,3,6
630,1,0,3
631,2,3,7
632,6,2,4
633,5,0,3
634,0,5,9
635,3,0,2
636,7,1,6
637,5,1,3
638,4,0,5
639,0,0,9
640,0,4,1
641,2,5,0
642,0,2,2
643,0,2,0
644,0,6,0
645,0,4,5
646,0,5,5
647,4,3,2
648,1,2,2
649,1,6,2
650,2,2,11
651,5,1,6
652,3,1,9
653,6,1,7
654,4,1,10
655,2,4,1
656,1,2,4
657,1,3,2
658,0,1,4
659,1,3,2
660,1,1,10
661,2,0,8
662,7,2,3
663,3,0,5
664,0,2,8
665,0,4,4
666,4,4,4
667,4,3,1
668,0,2,2
669,1,4,6
670,5,2,4
671,0,2,5
672,7,2,3
673,5,0,1
674,0,3,12
675,7,1,7
676,8,2,5
677,2,1,4
678,3,3,12
679,0,2,14
680,0,2,6
681,1,5,4
682,0,5,6
683,8,5,1
684,0,3,9
685,1,5,8
686,5,3,9
687,8,2,3
688,5,2,8
689,1,1,14
690,3,4,3
691,3,4,5
692,3,5,2
693,4,3,2
694,0,4,4
695,3,1,10
696,7,1,5
697,2,0,6
698,7,1,10
699,1,0,17
700,0,3,1
701,0,4,3
702,0,4,3
703,2,4,1
704,1,5,1
705,1,3,2
706,2,3,11
707,9,2,5
708,2,3,7
709,2,2,10
710,2,1,7
711,2,4,7
712,3,7,6
713,6,2,3
714,0,2,10
715,0,2,9
716,8,0,4
717,1,1,5
718,5,1,4
719,0,1,12
720,0,2,3
721,3,3,0
722,2,3,1
723,0,4,1
724,0,2,2
725,7,0,2
726,2,1,9
727,4,0,7
728,7,0,10
729,1,0,15
730,0,5,1
731,0,4,1
732,0,5,1
733,1,3,0
734,0,4,1
735,2,1,1
736,0,2,1
737,1,3,0
738,0,2,0
739,0,2,0
740,3,2,3
741,1,1,3
742,4,0,2
743,0,0,6
744,2,0,6
745,2,8,6
746,5,4,4
747,4,6,7
748,4,3,5
749,0,5,10
750,6,5,6
751,4,3,8
752,9,0,8
753,6,2,6
754,1,5,5
755,0,2,4
756,2,3,3
757,2,3,1
758,3,1,3
759,2,2,6
760,1,0,1
761,3,2,7
762,2,2,7
763,5,0,2
764,0,5,8
765,0,2,0
766,1,5,1
767,1,3,0
768,0,5,2
769,0,4,1
770,7,0,4
771,4,1,8
772,4,1,3
773,3,0,4
774,1,0,13
775,0,4,0
776,0,6,2
777,1,4,2
778,2,2,0
779,1,7,0
780,1,0,12
781,9,2,7
782,3,0,12
783,9,0,6
784,1,2,1
785,2,2,7
786,2,2,5
787,5,2,2
788,0,5,7
789,4,3,7
790,1,1,10
791,1,1,5
792,6,0,5
793,1,5,4
794,7,5,12
795,4,4,7
796,4,6,9
797,4,6,12
798,6,4,14
799,8,5,10
800,5,4,11
801,4,3,11
802,8,3,13
803,0,4,5
804,1,5,4
805,3,3,1
806,3,3,1
807,0,6,5
808,7,2,11
809,3,0,15
810,5,1,12
811,3,0,11
812,3,4,12
813,3,3,2
814,1,2,4
815,2,1,1
816,3,5,0
817,0,4,4
818,1,4,6
819,1,3,8
820,5,1,2
821,4,1,10
822,4,0,10
823,4,0,4
824,6,0,5
825,3,2,10
826,5,0,9
827,0,3,11
828,3,3,1
829,0,2,4
830,1,4,2
831,0,4,4
832,1,5,3
833,1,0,1
834,2,0,6
835,2,0,4
836,5,0,4
837,1,3,5
838,0,1,0
839,1,3,0
840,0,3,1
841,2,1,1
842,0,3,3
843,1,4,2
844,2,3,1
845,1,2,2
846,1,1,2
847,0,0,2
848,1,1,5
849,4,2,3
850,3,1,5
851,1,1,3
852,1,0,3
853,0,4,3
854,1,3,1
855,1,2,0
856,2,2,2
857,0,2,2
858,1,1,5
859,2,2,4
860,5,0,6
861,4,1,7
862,0,0,10
863,3,0,5
864,1,2,10
865,5,0,3
866,2,2,8
867,1,2,10
868,2,1,0
869,2,2,3
870,2,4,3
871,0,3,5
872,0,2,6
873,2,6,10
874,6,4,5
875,6,0,6
876,8,1,5
877,0,2,10
878,5,5,5
879,4,6,3
880,2,3,6
881,0,4,7
882,2,4,5
883,2,0,3
884,4,1,9
885,3,0,6
886,4,0,5
887,0,1,8
888,0,4,1
889,0,3,2
890,1,1,1
891,1,2,1
892,0,3,1
893,5,0,10
894,2,0,8
895,4,3,7
896,7,0,1
897,0,1,7
898,0,5,0
899,1,2,1
900,2,5,1
901,0,3,1
902,1,3,0
903,3,2,12
904,0,5,14
905,6,3,9
906,2,6,9
907,8,4,6
908,2,5,8
909,5,4,10
910,1,3,14
911,1,5,8
912,2,5,12
913,3,2,8
914,9,4,5
915,0,2,13
916,3,4,11
917,2,2,12
918,5,2,10
919,8,3,5
920,0,4,7
921,1,4,4
922,2,3,2
923,1,4,4
924,2,4,0
925,0,4,1
926,1,5,13
927,6,0,9
928,3,0,6
929,8,0,6
930,1,1,16
931,0,6,1
932,3,3,1
933,0,3,1
934,0,2,4
935,1,2,3
936,8,0,6
937,1,1,7
938,2,1,8
939,5,0,5
940,0,2,6
941,2,4,5
942,4,0,8
943,5,0,11
944,5,3,10
945,2,3,14
946,5,4,0
947,1,3,1
948,1,2,4
949,1,6,4
950,2,3,7
951,0,2,2
952,0,2,3
953,0,4,3
954,3,2,0
955,0,8,3
956,5,0,7
957,1,2,12
958,1,1,9
959,0,0,12
960,1,5,1
961,5,3,3
962,5,3,6
963,0,5,5
964,0,4,7
965,0,3,12
966,4,0,10
967,6,2,7
968,8,2,9
969,2,4,11
970,1,4,9
971,5,1,13
972,9,0,7
973,5,2,8
974,1,1,17
975,0,8,3
976,2,1,4
977,0,5,3
978,2,2,3
979,4,5,2
980,2,3,8
981,1,2,3
982,4,0,6
983,6,1,5
984,1,3,9
985,0,4,7
986,2,4,5
987,1,2,5
988,5,1,3
989,1,3,6
990,6,3,4
991,2,5,5
992,3,5,4
993,1,4,5
994,0,6,6
995,3,4,13
996,3,2,16
997,6,1,8
998,1,3,16
999,2,2,3
